Gene,Count
CD19,1
COG7,1
MTO1,1
GTPBP2,1
POLR1C,1
LHFPL5,1
ITPR3,1
GABBR1,1
CHMP1A,1
ANKRD11,1
CYBA,1
DHODH,1
COG8,1
CNOT1,1
CFAP20,1
RSPH3,1
ADGRG6,1
CDK19,1
JUP,1
NEUROD2,1
RPL23,1
TDP2,1
ALDH5A1,1
SQSTM1,1
HNRNPH1,1
PROP1,1
F12,1
SLC34A1,1
THG1L,1
HAVCR1,1
SIL1,1
CRYBA1,1
FLCN,1
SERPINF2,1
C9,1
NIPBL,1
DNAJC21,1
REEP2,1
KLHL3,1
TXNDC15,1
PPP2CA,1
AFF4,1
IRF1,1
LOX,1
HSD17B4,1
KIAA0825,1
DHFR,1
G6PC,1
CNTNAP1,1
NAGLU,1
EIF2B5,1
CLDN11,1
PDCD10,1
RHOH,1
SLC6A3,1
KLKB1,1
CPE,1
NAF1,1
SLC25A19,1
NUP85,1
STRADA,1
XYLT2,1
SOST,1
RPL27,1
CWC27,1
GHR,1
SERPINB7,1
SLC25A36,1
MSL2,1
MYLK,1
HGD,1
MAPRE2,1
KCTD1,1
RBBP8,1
GREB1L,1
WDR45B,1
SGSH,1
NSD2,1
LETM1,1
UVSSA,1
P3H2,1
LIPH,1
ZBTB47,1
SATB1,1
IQSEC1,1
ATP6V1A,1
CBLB,1
TRMT10C,1
CHMP2B,1
SHQ1,1
PROK2,1
LMOD3,1
CACNA1D,1
SEMA3F,1
ANGPTL6,1
EEF2,1
FZR1,1
CFD,1
COL3A1,1
KLHL41,1
NDUFA10,1
PNKD,1
ERBB4,1
TMEM147,1
LGI4,1
PEPD,1
UQCRFS1,1
COMP,1
PRKACA,1
FARSA,1
ACP5,1
PRKCSH,1
SMARCC1,1
ANO10,1
HNMT,1
BUB1,1
RANBP2,1
REEP1,1
CTNNA2,1
DCTN1,1
TSEN34,1
NLRP12,1
FPR2,1
FPR1,1
RTN2,1
MEGF8,1
ARHGEF1,1
NDUFS1,1
HSPD1,1
STAT1,1
COQ8A,1
H3F3A,1
FBXO28,1
PPP1R21,1
EPAS1,1
HAAO,1
CYP1B1,1
CAD,1
KCNJ6,1
HLCS,1
EDN3,1
CTSA,1
STK4,1
ADA,1
IFT52,1
ZEB2,1
TGFB2,1
KCTD3,1
CR2,1
PPP1R15B,1
PLA2G4A,1
CRYBB2,1
SMARCB1,1
CLDN5,1
USP18,1
LSS,1
SELENOI,1
POMC,1
KIDINS220,1
RPS7,1
FH,1
ACTA1,1
PUM1,1
IKBKG,1
LAGE3,1
B3GALT6,1
GABRD,1
PPP1R3F,1
EBP,1
NDP,1
CASK,1
LEPR,1
C8B,1
ELOVL1,1
CTSK,1
DCLRE1B,1
AP4B1,1
AMPD2,1
CD3G,1
RDX,1
TMEM126B,1
FADD,1
LRP5,1
ETV6,1
C1R,1
F9,1
CD40LG,1
CUL4B,1
BTK,1
SLC2A1,1
CTPS1,1
MFSD2A,1
NCDN,1
LCK,1
