transcript_ref,transcript_base,transcript_version
NM_001400124.1,NM_001400124,1
NM_001400125.1,NM_001400125,1
NM_001400126.1,NM_001400126,1
NM_001400127.1,NM_001400127,1
NM_001400128.1,NM_001400128,1
NM_001400129.1,NM_001400129,1
NM_001400130.1,NM_001400130,1
NM_001400131.1,NM_001400131,1
NM_001400132.1,NM_001400132,1
NM_001400133.1,NM_001400133,1
NM_001400134.1,NM_001400134,1
NM_001400135.1,NM_001400135,1
NM_001400136.1,NM_001400136,1
NM_001400137.1,NM_001400137,1
NM_001400138.1,NM_001400138,1
NM_001400139.1,NM_001400139,1
NM_001400140.1,NM_001400140,1
NM_001400141.1,NM_001400141,1
NM_001400142.1,NM_001400142,1
NM_001400143.1,NM_001400143,1
NM_001400144.1,NM_001400144,1
NM_001400145.1,NM_001400145,1
NM_001400146.1,NM_001400146,1
NM_001400147.1,NM_001400147,1
NM_001400148.1,NM_001400148,1
NM_001400149.1,NM_001400149,1
NM_001400150.1,NM_001400150,1
NM_001400151.1,NM_001400151,1
NM_001400152.1,NM_001400152,1
NM_001400153.1,NM_001400153,1
NM_001400154.1,NM_001400154,1
NM_001400155.1,NM_001400155,1
NM_001400156.1,NM_001400156,1
NM_001400157.1,NM_001400157,1
NM_001400158.1,NM_001400158,1
NM_001400159.1,NM_001400159,1
NM_001400160.1,NM_001400160,1
NM_001400161.1,NM_001400161,1
NM_001400162.1,NM_001400162,1
NM_001400164.1,NM_001400164,1
NM_001400165.1,NM_001400165,1
NM_001400166.1,NM_001400166,1
NM_001400167.1,NM_001400167,1
NM_001400168.1,NM_001400168,1
NM_001400170.1,NM_001400170,1
NM_001400171.1,NM_001400171,1
NM_001400172.1,NM_001400172,1
NM_001400173.1,NM_001400173,1
NM_001400174.1,NM_001400174,1
NM_001400175.1,NM_001400175,1
NM_001400176.1,NM_001400176,1
NM_001400177.1,NM_001400177,1
NM_001400178.1,NM_001400178,1
NM_001400179.1,NM_001400179,1
NM_001400180.1,NM_001400180,1
NM_001400181.1,NM_001400181,1
NM_001400182.1,NM_001400182,1
NM_001400183.1,NM_001400183,1
NM_001400184.1,NM_001400184,1
NM_001400185.1,NM_001400185,1
NM_001400186.1,NM_001400186,1
NM_001400187.1,NM_001400187,1
NM_001400188.1,NM_001400188,1
NM_001400189.1,NM_001400189,1
NM_001400190.1,NM_001400190,1
NM_001400191.1,NM_001400191,1
NM_001400192.1,NM_001400192,1
NM_001400193.1,NM_001400193,1
NM_001400194.1,NM_001400194,1
NM_001400195.1,NM_001400195,1
NM_001400197.1,NM_001400197,1
NM_001400198.1,NM_001400198,1
NM_001400199.1,NM_001400199,1
NM_001400200.1,NM_001400200,1
NM_001400202.1,NM_001400202,1
NM_001400203.1,NM_001400203,1
NM_001400204.1,NM_001400204,1
NM_001400205.1,NM_001400205,1
NM_001400206.1,NM_001400206,1
NM_001400207.1,NM_001400207,1
NM_001400208.1,NM_001400208,1
NM_001400209.1,NM_001400209,1
NM_001400210.1,NM_001400210,1
NM_001400211.1,NM_001400211,1
NM_001400212.1,NM_001400212,1
NM_001400213.1,NM_001400213,1
NM_001400214.1,NM_001400214,1
NM_001400215.1,NM_001400215,1
NM_001400216.1,NM_001400216,1
NM_001400217.1,NM_001400217,1
NM_001400218.1,NM_001400218,1
NM_001400219.1,NM_001400219,1
NM_001400220.1,NM_001400220,1
NM_001400221.1,NM_001400221,1
NM_001400222.1,NM_001400222,1
NM_001400223.1,NM_001400223,1
NM_001400224.1,NM_001400224,1
NM_001400225.1,NM_001400225,1
NM_001400226.1,NM_001400226,1
NM_001400227.1,NM_001400227,1
NM_001400242.1,NM_001400242,1
NM_001400243.1,NM_001400243,1
NM_001400244.1,NM_001400244,1
NM_001400245.1,NM_001400245,1
NM_001400246.1,NM_001400246,1
NM_001400247.1,NM_001400247,1
NM_001400258.1,NM_001400258,1
NM_001400259.1,NM_001400259,1
NM_001400260.1,NM_001400260,1
NM_001400261.1,NM_001400261,1
NM_001400262.1,NM_001400262,1
NM_001400263.1,NM_001400263,1
NM_001400264.1,NM_001400264,1
NM_001400265.1,NM_001400265,1
NM_001400268.1,NM_001400268,1
NM_001400269.1,NM_001400269,1
NM_001400270.1,NM_001400270,1
NM_001400271.1,NM_001400271,1
NM_001400272.1,NM_001400272,1
NM_001400273.1,NM_001400273,1
NM_001400274.1,NM_001400274,1
NM_001400275.1,NM_001400275,1
NM_001400276.1,NM_001400276,1
NM_001400277.1,NM_001400277,1
NM_001400278.1,NM_001400278,1
NM_001400279.1,NM_001400279,1
NM_001400280.1,NM_001400280,1
NM_001400281.1,NM_001400281,1
NM_001400282.1,NM_001400282,1
NM_001400283.1,NM_001400283,1
NM_001400284.1,NM_001400284,1
NM_001400285.1,NM_001400285,1
NM_001400286.1,NM_001400286,1
NM_001400287.1,NM_001400287,1
NM_001400288.1,NM_001400288,1
NM_001400290.1,NM_001400290,1
NM_001400292.1,NM_001400292,1
NM_001400293.1,NM_001400293,1
NM_001400294.1,NM_001400294,1
NM_001400295.1,NM_001400295,1
NM_001400296.1,NM_001400296,1
NM_001400297.1,NM_001400297,1
NM_001400298.1,NM_001400298,1
NM_001400299.1,NM_001400299,1
NM_001400300.1,NM_001400300,1
NM_001400301.1,NM_001400301,1
NM_001400302.1,NM_001400302,1
NM_001400303.1,NM_001400303,1
NM_001400304.1,NM_001400304,1
NM_001400305.1,NM_001400305,1
NM_001400306.1,NM_001400306,1
NM_001400307.1,NM_001400307,1
NM_001400308.1,NM_001400308,1
NM_001400309.1,NM_001400309,1
NM_001400310.1,NM_001400310,1
NM_001400311.1,NM_001400311,1
NM_001400312.1,NM_001400312,1
NM_001400313.1,NM_001400313,1
NM_001400314.1,NM_001400314,1
NM_001400315.1,NM_001400315,1
NM_001400316.1,NM_001400316,1
NM_001400317.1,NM_001400317,1
NM_001400318.1,NM_001400318,1
NM_001400319.1,NM_001400319,1
NM_001400320.1,NM_001400320,1
NM_001400324.1,NM_001400324,1
NM_001400325.1,NM_001400325,1
NM_001400326.1,NM_001400326,1
NM_001400327.1,NM_001400327,1
NM_001400328.1,NM_001400328,1
NM_001400329.1,NM_001400329,1
NM_001400330.1,NM_001400330,1
NM_001400331.1,NM_001400331,1
NM_001400332.1,NM_001400332,1
NM_001400333.1,NM_001400333,1
NM_001400334.1,NM_001400334,1
NM_001400335.1,NM_001400335,1
NM_001400336.1,NM_001400336,1
NM_001400337.1,NM_001400337,1
NM_001400338.1,NM_001400338,1
NM_001400339.1,NM_001400339,1
NM_001400340.1,NM_001400340,1
NM_001400341.1,NM_001400341,1
NM_001400342.1,NM_001400342,1
NM_001400343.1,NM_001400343,1
NM_001400344.1,NM_001400344,1
NM_001400345.1,NM_001400345,1
NM_001400346.1,NM_001400346,1
NM_001400347.1,NM_001400347,1
NM_001400348.1,NM_001400348,1
NM_001400349.1,NM_001400349,1
NM_001400350.1,NM_001400350,1
NM_001400351.1,NM_001400351,1
NM_001400352.1,NM_001400352,1
NM_001400353.1,NM_001400353,1
NM_001400354.1,NM_001400354,1
NM_001400355.1,NM_001400355,1
NM_001400356.1,NM_001400356,1
NM_001400357.1,NM_001400357,1
NM_001400358.1,NM_001400358,1
NM_001400359.1,NM_001400359,1
NM_001400360.1,NM_001400360,1
NM_001400361.1,NM_001400361,1
NM_001400362.1,NM_001400362,1
NM_001400363.1,NM_001400363,1
NM_001400364.1,NM_001400364,1
NM_001400365.1,NM_001400365,1
NM_001400366.1,NM_001400366,1
NM_001400367.1,NM_001400367,1
NM_001400368.1,NM_001400368,1
NM_001400369.1,NM_001400369,1
NM_001400371.1,NM_001400371,1
NM_001400372.1,NM_001400372,1
NM_001400373.1,NM_001400373,1
NM_001400374.1,NM_001400374,1
NM_001400375.1,NM_001400375,1
NM_001400377.1,NM_001400377,1
NM_001400378.1,NM_001400378,1
NM_001400379.1,NM_001400379,1
NM_001400380.1,NM_001400380,1
NM_001400381.1,NM_001400381,1
NM_001400401.1,NM_001400401,1
NM_001400402.1,NM_001400402,1
NM_001400403.1,NM_001400403,1
NM_001400404.1,NM_001400404,1
NM_001400405.1,NM_001400405,1
NM_001400406.1,NM_001400406,1
NM_001400407.1,NM_001400407,1
NM_001400408.1,NM_001400408,1
NM_001400409.1,NM_001400409,1
NM_001400410.1,NM_001400410,1
NM_001400411.1,NM_001400411,1
NM_001400412.1,NM_001400412,1
NM_001400413.1,NM_001400413,1
NM_001400414.1,NM_001400414,1
NM_001400415.1,NM_001400415,1
NM_001400416.1,NM_001400416,1
NM_001400417.1,NM_001400417,1
NM_001400418.1,NM_001400418,1
NM_001400419.1,NM_001400419,1
NM_001400420.1,NM_001400420,1
NM_001400421.1,NM_001400421,1
NM_001400422.1,NM_001400422,1
NM_001400423.1,NM_001400423,1
NM_001400424.1,NM_001400424,1
NM_001400425.1,NM_001400425,1
NM_001400427.1,NM_001400427,1
NM_001400428.1,NM_001400428,1
NM_001400429.1,NM_001400429,1
NM_001400430.1,NM_001400430,1
NM_001400431.1,NM_001400431,1
NM_001400432.1,NM_001400432,1
NM_001400433.1,NM_001400433,1
NM_001400434.1,NM_001400434,1
NM_001400435.1,NM_001400435,1
NM_001400436.1,NM_001400436,1
NM_001400437.1,NM_001400437,1
NM_001400438.1,NM_001400438,1
NM_001400441.1,NM_001400441,1
NM_001400442.1,NM_001400442,1
NM_001400443.1,NM_001400443,1
NM_001400444.1,NM_001400444,1
NM_001400445.1,NM_001400445,1
NM_001400446.1,NM_001400446,1
NM_001400447.1,NM_001400447,1
NM_001400448.1,NM_001400448,1
NM_001400449.1,NM_001400449,1
NM_001400450.1,NM_001400450,1
NM_001400451.1,NM_001400451,1
NM_001400452.1,NM_001400452,1
NM_001400453.1,NM_001400453,1
NM_001400454.1,NM_001400454,1
NM_001400455.1,NM_001400455,1
NM_001400456.1,NM_001400456,1
NM_001400457.1,NM_001400457,1
NM_001400458.1,NM_001400458,1
NM_001400459.1,NM_001400459,1
NM_001400460.1,NM_001400460,1
NM_001400461.1,NM_001400461,1
NM_001400462.1,NM_001400462,1
NM_001400463.1,NM_001400463,1
NM_001400464.1,NM_001400464,1
NM_001400465.1,NM_001400465,1
NM_001400466.1,NM_001400466,1
NM_001400467.1,NM_001400467,1
NM_001400470.1,NM_001400470,1
NM_001400471.1,NM_001400471,1
NM_001400472.1,NM_001400472,1
NM_001400473.1,NM_001400473,1
NM_001400474.1,NM_001400474,1
NM_001400475.1,NM_001400475,1
NM_001400479.1,NM_001400479,1
NM_001400481.1,NM_001400481,1
NM_001400484.1,NM_001400484,1
NM_001400487.1,NM_001400487,1
NM_001400490.1,NM_001400490,1
NM_001400496.1,NM_001400496,1
NM_001400500.1,NM_001400500,1
NM_001400501.1,NM_001400501,1
NM_001400504.1,NM_001400504,1
NM_001400512.1,NM_001400512,1
NM_001400513.1,NM_001400513,1
NM_001400514.1,NM_001400514,1
NM_001400515.1,NM_001400515,1
NM_001400518.1,NM_001400518,1
NM_001400519.1,NM_001400519,1
NM_001400520.1,NM_001400520,1
NM_001400521.1,NM_001400521,1
NM_001400522.1,NM_001400522,1
NM_001400523.1,NM_001400523,1
NM_001400524.1,NM_001400524,1
NM_001400525.1,NM_001400525,1
NM_001400526.1,NM_001400526,1
NM_001400527.1,NM_001400527,1
NM_001400528.1,NM_001400528,1
NM_001400529.1,NM_001400529,1
NM_001400530.1,NM_001400530,1
NM_001400531.1,NM_001400531,1
NM_001400532.1,NM_001400532,1
NM_001400533.1,NM_001400533,1
NM_001400534.1,NM_001400534,1
NM_001400535.1,NM_001400535,1
NM_001400536.1,NM_001400536,1
NM_001400537.1,NM_001400537,1
NM_001400538.1,NM_001400538,1
NM_001400539.1,NM_001400539,1
NM_001400540.1,NM_001400540,1
NM_001400541.1,NM_001400541,1
NM_001400542.1,NM_001400542,1
NM_001400543.1,NM_001400543,1
NM_001400544.1,NM_001400544,1
NM_001400545.1,NM_001400545,1
NM_001400546.1,NM_001400546,1
NM_001400547.1,NM_001400547,1
NM_001400548.1,NM_001400548,1
NM_001400549.1,NM_001400549,1
NM_001400550.1,NM_001400550,1
NM_001400558.1,NM_001400558,1
NM_001400559.1,NM_001400559,1
NM_001400560.1,NM_001400560,1
NM_001400561.1,NM_001400561,1
NM_001400562.1,NM_001400562,1
NM_001400563.1,NM_001400563,1
NM_001400564.1,NM_001400564,1
NM_001400565.1,NM_001400565,1
NM_001400566.1,NM_001400566,1
NM_001400567.1,NM_001400567,1
NM_001400568.1,NM_001400568,1
NM_001400581.1,NM_001400581,1
NM_001400582.1,NM_001400582,1
NM_001400583.1,NM_001400583,1
NM_001400584.1,NM_001400584,1
NM_001400585.1,NM_001400585,1
NM_001400586.1,NM_001400586,1
NM_001400587.1,NM_001400587,1
NM_001400588.1,NM_001400588,1
NM_001400589.1,NM_001400589,1
NM_001400590.1,NM_001400590,1
NM_001400591.1,NM_001400591,1
NM_001400592.1,NM_001400592,1
NM_001400593.1,NM_001400593,1
NM_001400594.1,NM_001400594,1
NM_001400595.1,NM_001400595,1
NM_001400603.1,NM_001400603,1
NM_001400604.1,NM_001400604,1
NM_001400605.1,NM_001400605,1
NM_001400606.1,NM_001400606,1
NM_001400607.1,NM_001400607,1
NM_001400608.1,NM_001400608,1
NM_001400609.1,NM_001400609,1
NM_001400610.1,NM_001400610,1
NM_001400611.1,NM_001400611,1
NM_001400612.1,NM_001400612,1
NM_001400613.1,NM_001400613,1
NM_001400614.1,NM_001400614,1
NM_001400615.1,NM_001400615,1
NM_001400616.1,NM_001400616,1
NM_001400617.1,NM_001400617,1
NM_001400618.1,NM_001400618,1
NM_001400619.1,NM_001400619,1
NM_001400620.1,NM_001400620,1
NM_001400621.1,NM_001400621,1
NM_001400622.1,NM_001400622,1
NM_001400623.1,NM_001400623,1
NM_001400624.1,NM_001400624,1
NM_001400634.1,NM_001400634,1
NM_001400635.1,NM_001400635,1
NM_001400636.1,NM_001400636,1
NM_001400637.1,NM_001400637,1
NM_001400638.1,NM_001400638,1
NM_001400639.1,NM_001400639,1
NM_001400640.1,NM_001400640,1
NM_001400641.1,NM_001400641,1
NM_001400642.1,NM_001400642,1
NM_001400643.1,NM_001400643,1
NM_001400644.1,NM_001400644,1
NM_001400645.1,NM_001400645,1
NM_001400646.1,NM_001400646,1
NM_001400647.1,NM_001400647,1
NM_001400648.1,NM_001400648,1
NM_001400649.1,NM_001400649,1
NM_001400650.1,NM_001400650,1
NM_001400651.1,NM_001400651,1
NM_001400652.1,NM_001400652,1
NM_001400653.1,NM_001400653,1
NM_001400654.1,NM_001400654,1
NM_001400655.1,NM_001400655,1
NM_001400656.1,NM_001400656,1
NM_001400657.1,NM_001400657,1
NM_001400658.1,NM_001400658,1
NM_001400659.1,NM_001400659,1
NM_001400660.1,NM_001400660,1
NM_001400661.1,NM_001400661,1
NM_001400662.1,NM_001400662,1
NM_001400663.1,NM_001400663,1
NM_001400664.1,NM_001400664,1
NM_001400665.1,NM_001400665,1
NM_001400666.1,NM_001400666,1
NM_001400667.1,NM_001400667,1
NM_001400668.1,NM_001400668,1
NM_001400669.1,NM_001400669,1
NM_001400670.1,NM_001400670,1
NM_001400671.1,NM_001400671,1
NM_001400672.1,NM_001400672,1
NM_001400673.1,NM_001400673,1
NM_001400674.1,NM_001400674,1
NM_001400675.1,NM_001400675,1
NM_001400676.1,NM_001400676,1
NM_001400677.1,NM_001400677,1
NM_001400678.1,NM_001400678,1
NM_001400679.1,NM_001400679,1
NM_001400680.1,NM_001400680,1
NM_001400681.1,NM_001400681,1
NM_001400682.1,NM_001400682,1
NM_001400683.1,NM_001400683,1
NM_001400684.1,NM_001400684,1
NM_001400685.1,NM_001400685,1
NM_001400686.1,NM_001400686,1
NM_001400687.1,NM_001400687,1
NM_001400688.1,NM_001400688,1
NM_001400689.1,NM_001400689,1
NM_001400690.1,NM_001400690,1
NM_001400691.1,NM_001400691,1
NM_001400692.1,NM_001400692,1
NM_001400693.1,NM_001400693,1
NM_001400694.1,NM_001400694,1
NM_001400695.1,NM_001400695,1
NM_001400696.1,NM_001400696,1
NM_001400697.1,NM_001400697,1
NM_001400698.1,NM_001400698,1
NM_001400701.1,NM_001400701,1
NM_001400702.1,NM_001400702,1
NM_001400703.1,NM_001400703,1
NM_001400704.1,NM_001400704,1
NM_001400705.1,NM_001400705,1
NM_001400706.1,NM_001400706,1
NM_001400707.1,NM_001400707,1
NM_001400708.1,NM_001400708,1
NM_001400709.1,NM_001400709,1
NM_001400710.1,NM_001400710,1
NM_001400711.1,NM_001400711,1
NM_001400712.1,NM_001400712,1
NM_001400713.1,NM_001400713,1
NM_001400714.1,NM_001400714,1
NM_001400715.1,NM_001400715,1
NM_001400716.1,NM_001400716,1
NM_001400717.1,NM_001400717,1
NM_001400718.1,NM_001400718,1
NM_001400719.1,NM_001400719,1
NM_001400720.1,NM_001400720,1
NM_001400721.1,NM_001400721,1
NM_001400722.1,NM_001400722,1
NM_001400723.1,NM_001400723,1
NM_001400724.1,NM_001400724,1
NM_001400725.1,NM_001400725,1
NM_001400726.1,NM_001400726,1
NM_001400727.1,NM_001400727,1
NM_001400728.1,NM_001400728,1
NM_001400729.1,NM_001400729,1
NM_001400730.1,NM_001400730,1
NM_001400731.1,NM_001400731,1
NM_001400732.1,NM_001400732,1
NM_001400733.1,NM_001400733,1
NM_001400734.1,NM_001400734,1
NM_001400735.1,NM_001400735,1
NM_001400736.1,NM_001400736,1
NM_001400737.1,NM_001400737,1
NM_001400738.1,NM_001400738,1
NM_001400739.1,NM_001400739,1
NM_001400740.1,NM_001400740,1
NM_001400741.1,NM_001400741,1
NM_001400742.1,NM_001400742,1
NM_001400743.1,NM_001400743,1
NM_001400744.1,NM_001400744,1
NM_001400745.1,NM_001400745,1
NM_001400746.1,NM_001400746,1
NM_001400747.1,NM_001400747,1
NM_001400748.1,NM_001400748,1
NM_001400750.1,NM_001400750,1
NM_001400751.1,NM_001400751,1
NM_001400753.1,NM_001400753,1
NM_001400754.1,NM_001400754,1
NM_001400755.1,NM_001400755,1
NM_001400756.1,NM_001400756,1
NM_001400757.1,NM_001400757,1
NM_001400758.1,NM_001400758,1
NM_001400759.1,NM_001400759,1
NM_001400762.1,NM_001400762,1
NM_001400763.1,NM_001400763,1
NM_001400764.1,NM_001400764,1
NM_001400765.1,NM_001400765,1
NM_001400767.1,NM_001400767,1
NM_001400768.1,NM_001400768,1
NM_001400774.1,NM_001400774,1
NM_001400784.1,NM_001400784,1
NM_001400785.1,NM_001400785,1
NM_001400786.1,NM_001400786,1
NM_001400787.1,NM_001400787,1
NM_001400788.1,NM_001400788,1
NM_001400789.1,NM_001400789,1
NM_001400790.1,NM_001400790,1
NM_001400791.1,NM_001400791,1
NM_001400792.1,NM_001400792,1
NM_001400793.1,NM_001400793,1
NM_001400794.1,NM_001400794,1
NM_001400795.1,NM_001400795,1
NM_001400796.1,NM_001400796,1
NM_001400797.1,NM_001400797,1
NM_001400799.1,NM_001400799,1
NM_001400800.1,NM_001400800,1
NM_001400801.1,NM_001400801,1
NM_001400802.1,NM_001400802,1
NM_001400803.1,NM_001400803,1
NM_001400804.1,NM_001400804,1
NM_001400805.1,NM_001400805,1
NM_001400806.1,NM_001400806,1
NM_001400807.1,NM_001400807,1
NM_001400809.1,NM_001400809,1
NM_001400810.1,NM_001400810,1
NM_001400811.1,NM_001400811,1
NM_001400812.1,NM_001400812,1
NM_001400813.1,NM_001400813,1
NM_001400830.1,NM_001400830,1
NM_001400831.1,NM_001400831,1
NM_001400832.1,NM_001400832,1
NM_001400833.1,NM_001400833,1
NM_001400834.1,NM_001400834,1
NM_001400835.1,NM_001400835,1
NM_001400853.1,NM_001400853,1
NM_001400854.1,NM_001400854,1
NM_001400855.1,NM_001400855,1
NM_001400856.1,NM_001400856,1
NM_001400857.1,NM_001400857,1
NM_001400858.1,NM_001400858,1
NM_001400859.1,NM_001400859,1
NM_001400860.1,NM_001400860,1
NM_001400861.1,NM_001400861,1
NM_001400862.1,NM_001400862,1
NM_001400863.1,NM_001400863,1
NM_001400864.1,NM_001400864,1
NM_001400865.1,NM_001400865,1
NM_001400866.1,NM_001400866,1
NM_001400867.1,NM_001400867,1
NM_001400868.1,NM_001400868,1
NM_001400869.1,NM_001400869,1
NM_001400870.1,NM_001400870,1
NM_001400871.1,NM_001400871,1
NM_001400872.1,NM_001400872,1
NM_001400873.1,NM_001400873,1
NM_001400874.1,NM_001400874,1
NM_001400875.1,NM_001400875,1
NM_001400876.1,NM_001400876,1
NM_001400877.1,NM_001400877,1
NM_001400878.1,NM_001400878,1
NM_001400879.1,NM_001400879,1
NM_001400880.1,NM_001400880,1
NM_001400881.1,NM_001400881,1
NM_001400883.1,NM_001400883,1
NM_001400884.1,NM_001400884,1
NM_001400885.1,NM_001400885,1
NM_001400886.1,NM_001400886,1
NM_001400887.1,NM_001400887,1
NM_001400888.1,NM_001400888,1
NM_001400889.1,NM_001400889,1
NM_001400890.1,NM_001400890,1
NM_001400891.1,NM_001400891,1
NM_001400892.1,NM_001400892,1
NM_001400893.1,NM_001400893,1
NM_001400894.1,NM_001400894,1
NM_001400895.1,NM_001400895,1
NM_001400896.1,NM_001400896,1
NM_001400897.1,NM_001400897,1
NM_001400899.1,NM_001400899,1
NM_001400900.1,NM_001400900,1
NM_001400902.1,NM_001400902,1
NM_001400903.1,NM_001400903,1
NM_001400904.1,NM_001400904,1
NM_001400905.1,NM_001400905,1
NM_001400906.1,NM_001400906,1
NM_001400907.1,NM_001400907,1
NM_001400909.1,NM_001400909,1
NM_001400910.1,NM_001400910,1
NM_001400911.1,NM_001400911,1
NM_001400912.1,NM_001400912,1
NM_001400913.1,NM_001400913,1
NM_001400925.1,NM_001400925,1
NM_001400926.1,NM_001400926,1
NM_001400927.1,NM_001400927,1
NM_001400928.1,NM_001400928,1
NM_001400929.1,NM_001400929,1
NM_001401.5,NM_001401,5
NM_001401008.1,NM_001401008,1
NM_001401009.1,NM_001401009,1
NM_001401010.1,NM_001401010,1
NM_001401011.1,NM_001401011,1
NM_001401012.1,NM_001401012,1
NM_001401016.1,NM_001401016,1
NM_001401017.1,NM_001401017,1
NM_001401018.1,NM_001401018,1
NM_001401020.1,NM_001401020,1
NM_001401021.1,NM_001401021,1
NM_001401022.1,NM_001401022,1
NM_001401023.1,NM_001401023,1
NM_001401024.1,NM_001401024,1
NM_001401025.1,NM_001401025,1
NM_001401026.1,NM_001401026,1
NM_001401027.1,NM_001401027,1
NM_001401028.1,NM_001401028,1
NM_001401029.1,NM_001401029,1
NM_001401031.1,NM_001401031,1
NM_001401032.1,NM_001401032,1
NM_001401272.1,NM_001401272,1
NM_001401340.1,NM_001401340,1
NM_001401357.1,NM_001401357,1
NM_001401358.1,NM_001401358,1
NM_001401359.1,NM_001401359,1
NM_001401360.1,NM_001401360,1
NM_001401361.1,NM_001401361,1
NM_001401365.1,NM_001401365,1
NM_001401501.2,NM_001401501,2
NM_001401519.1,NM_001401519,1
NM_001401598.1,NM_001401598,1
NM_001401599.1,NM_001401599,1
NM_001401600.1,NM_001401600,1
NM_001401601.1,NM_001401601,1
NM_001401602.1,NM_001401602,1
NM_001401603.1,NM_001401603,1
NM_001401604.1,NM_001401604,1
NM_001401605.1,NM_001401605,1
NM_001401606.1,NM_001401606,1
NM_001401607.1,NM_001401607,1
NM_001401608.1,NM_001401608,1
NM_001401609.1,NM_001401609,1
NM_001401610.1,NM_001401610,1
NM_001401611.1,NM_001401611,1
NM_001401612.1,NM_001401612,1
NM_001401645.1,NM_001401645,1
NM_001401646.1,NM_001401646,1
NM_001401679.1,NM_001401679,1
NM_001401681.1,NM_001401681,1
NM_001401685.1,NM_001401685,1
NM_001401686.1,NM_001401686,1
NM_001401687.1,NM_001401687,1
NM_001401690.1,NM_001401690,1
NM_001401693.1,NM_001401693,1
NM_001401695.1,NM_001401695,1
NM_001401696.1,NM_001401696,1
NM_001401697.1,NM_001401697,1
NM_001401698.1,NM_001401698,1
NM_001401699.1,NM_001401699,1
NM_001401700.1,NM_001401700,1
NM_001401710.1,NM_001401710,1
NM_001402.6,NM_001402,6
NM_001402427.1,NM_001402427,1
NM_001402682.1,NM_001402682,1
NM_001402683.1,NM_001402683,1
NM_001402684.1,NM_001402684,1
NM_001402685.1,NM_001402685,1
NM_001402686.1,NM_001402686,1
NM_001402687.1,NM_001402687,1
NM_001402688.1,NM_001402688,1
NM_001402689.1,NM_001402689,1
NM_001402690.1,NM_001402690,1
NM_001402691.1,NM_001402691,1
NM_001402692.1,NM_001402692,1
NM_001402693.1,NM_001402693,1
NM_001402694.1,NM_001402694,1
NM_001402696.1,NM_001402696,1
NM_001402698.1,NM_001402698,1
NM_001402699.1,NM_001402699,1
NM_001402700.1,NM_001402700,1
NM_001402701.1,NM_001402701,1
NM_001402702.1,NM_001402702,1
NM_001402703.1,NM_001402703,1
NM_001402704.1,NM_001402704,1
NM_001402705.1,NM_001402705,1
NM_001402706.1,NM_001402706,1
NM_001402707.1,NM_001402707,1
NM_001402708.1,NM_001402708,1
NM_001402709.1,NM_001402709,1
NM_001402710.1,NM_001402710,1
NM_001402711.1,NM_001402711,1
NM_001404.5,NM_001404,5
NM_001404657.1,NM_001404657,1
NM_001404658.1,NM_001404658,1
NM_001404659.1,NM_001404659,1
NM_001404660.1,NM_001404660,1
NM_001404661.1,NM_001404661,1
NM_001404662.1,NM_001404662,1
NM_001404663.1,NM_001404663,1
NM_001404675.1,NM_001404675,1
NM_001404676.1,NM_001404676,1
NM_001404677.1,NM_001404677,1
NM_001404678.1,NM_001404678,1
NM_001404679.1,NM_001404679,1
NM_001404680.1,NM_001404680,1
NM_001404681.1,NM_001404681,1
NM_001405.4,NM_001405,4
NM_001405004.1,NM_001405004,1
NM_001405020.1,NM_001405020,1
NM_001405026.1,NM_001405026,1
NM_001405027.1,NM_001405027,1
NM_001405061.1,NM_001405061,1
NM_001405103.1,NM_001405103,1
NM_001405151.1,NM_001405151,1
NM_001405228.1,NM_001405228,1
NM_001405266.1,NM_001405266,1
NM_001405268.1,NM_001405268,1
NM_001405270.1,NM_001405270,1
NM_001405291.1,NM_001405291,1
NM_001405292.1,NM_001405292,1
NM_001405293.1,NM_001405293,1
NM_001405475.1,NM_001405475,1
NM_001405476.1,NM_001405476,1
NM_001405477.1,NM_001405477,1
NM_001405478.1,NM_001405478,1
NM_001405479.1,NM_001405479,1
NM_001405480.1,NM_001405480,1
NM_001405481.1,NM_001405481,1
NM_001405482.1,NM_001405482,1
NM_001405483.1,NM_001405483,1
NM_001405484.1,NM_001405484,1
NM_001405485.1,NM_001405485,1
NM_001405486.1,NM_001405486,1
NM_001405487.1,NM_001405487,1
NM_001405488.1,NM_001405488,1
NM_001405489.1,NM_001405489,1
NM_001405490.1,NM_001405490,1
NM_001405492.1,NM_001405492,1
NM_001405493.1,NM_001405493,1
NM_001405494.1,NM_001405494,1
NM_001405495.1,NM_001405495,1
NM_001405496.1,NM_001405496,1
NM_001405511.1,NM_001405511,1
NM_001405520.1,NM_001405520,1
NM_001405530.2,NM_001405530,2
NM_001405531.1,NM_001405531,1
NM_001405532.1,NM_001405532,1
NM_001405533.1,NM_001405533,1
NM_001405534.1,NM_001405534,1
NM_001405535.1,NM_001405535,1
NM_001405536.1,NM_001405536,1
NM_001405537.1,NM_001405537,1
NM_001405538.1,NM_001405538,1
NM_001405539.1,NM_001405539,1
NM_001405540.1,NM_001405540,1
NM_001405541.1,NM_001405541,1
NM_001405542.1,NM_001405542,1
NM_001405543.1,NM_001405543,1
NM_001405544.1,NM_001405544,1
NM_001405545.1,NM_001405545,1
NM_001405546.1,NM_001405546,1
NM_001405547.1,NM_001405547,1
NM_001405548.1,NM_001405548,1
NM_001405549.1,NM_001405549,1
NM_001405550.1,NM_001405550,1
NM_001405552.1,NM_001405552,1
