transcript_ref,transcript_base,transcript_version
NM_000420.3,NM_000420,3
NM_000421.5,NM_000421,5
NM_000422.3,NM_000422,3
NM_000423.3,NM_000423,3
NM_000424.4,NM_000424,4
NM_000425.5,NM_000425,5
NM_000426.4,NM_000426,4
NM_000427.3,NM_000427,3
NM_000428.3,NM_000428,3
NM_000429.3,NM_000429,3
NM_000430.4,NM_000430,4
NM_000431.4,NM_000431,4
NM_000432.4,NM_000432,4
NM_000433.4,NM_000433,4
NM_000434.4,NM_000434,4
NM_000435.3,NM_000435,3
NM_000436.4,NM_000436,4
NM_000437.4,NM_000437,4
NM_000438.6,NM_000438,6
NM_000439.5,NM_000439,5
NM_000440.3,NM_000440,3
NM_000441.2,NM_000441,2
NM_000442.5,NM_000442,5
NM_000443.4,NM_000443,4
NM_000444.6,NM_000444,6
NM_000445.5,NM_000445,5
NM_000446.7,NM_000446,7
NM_000447.3,NM_000447,3
NM_000448.3,NM_000448,3
NM_000449.4,NM_000449,4
NM_000450.2,NM_000450,2
NM_000451.4,NM_000451,4
NM_000452.3,NM_000452,3
NM_000453.3,NM_000453,3
NM_000454.5,NM_000454,5
NM_000455.5,NM_000455,5
NM_000456.3,NM_000456,3
NM_000457.6,NM_000457,6
NM_000458.4,NM_000458,4
NM_000459.5,NM_000459,5
NM_000460.4,NM_000460,4
NM_000461.5,NM_000461,5
NM_000462.5,NM_000462,5
NM_000463.3,NM_000463,3
NM_000465.4,NM_000465,4
NM_000466.3,NM_000466,3
NM_000474.4,NM_000474,4
NM_000475.5,NM_000475,5
NM_000476.3,NM_000476,3
NM_000477.7,NM_000477,7
NM_000478.6,NM_000478,6
NM_000479.5,NM_000479,5
NM_000480.3,NM_000480,3
NM_000481.4,NM_000481,4
NM_000482.4,NM_000482,4
NM_000483.5,NM_000483,5
NM_000484.4,NM_000484,4
NM_000485.3,NM_000485,3
NM_000486.6,NM_000486,6
NM_000487.6,NM_000487,6
NM_000488.4,NM_000488,4
NM_000489.6,NM_000489,6
NM_000490.5,NM_000490,5
NM_000491.5,NM_000491,5
NM_000492.4,NM_000492,4
NM_000493.4,NM_000493,4
NM_000494.4,NM_000494,4
NM_000495.5,NM_000495,5
NM_000496.3,NM_000496,3
NM_000497.4,NM_000497,4
NM_000498.3,NM_000498,3
NM_000499.5,NM_000499,5
NM_000500.9,NM_000500,9
NM_000501.4,NM_000501,4
NM_000502.6,NM_000502,6
NM_000503.6,NM_000503,6
NM_000504.4,NM_000504,4
NM_000505.4,NM_000505,4
NM_000506.5,NM_000506,5
NM_000507.4,NM_000507,4
NM_000508.5,NM_000508,5
NM_000509.6,NM_000509,6
NM_000510.4,NM_000510,4
NM_000511.6,NM_000511,6
NM_000512.5,NM_000512,5
NM_000513.2,NM_000513,2
NM_000514.4,NM_000514,4
NM_000515.5,NM_000515,5
NM_000516.7,NM_000516,7
NM_000517.6,NM_000517,6
NM_000518.5,NM_000518,5
NM_000519.4,NM_000519,4
NM_000520.6,NM_000520,6
NM_000521.4,NM_000521,4
NM_000522.5,NM_000522,5
NM_000523.4,NM_000523,4
NM_000524.4,NM_000524,4
NM_000525.4,NM_000525,4
NM_000526.5,NM_000526,5
NM_000527.5,NM_000527,5
NM_000528.4,NM_000528,4
NM_000529.2,NM_000529,2
NM_000530.8,NM_000530,8
NM_000531.6,NM_000531,6
NM_000532.5,NM_000532,5
NM_000533.5,NM_000533,5
NM_000534.5,NM_000534,5
NM_000535.7,NM_000535,7
NM_000536.4,NM_000536,4
NM_000537.4,NM_000537,4
NM_000538.4,NM_000538,4
NM_000539.3,NM_000539,3
NM_000540.3,NM_000540,3
NM_000541.5,NM_000541,5
NM_000542.5,NM_000542,5
NM_000543.5,NM_000543,5
NM_000544.3,NM_000544,3
NM_000545.8,NM_000545,8
NM_000546.6,NM_000546,6
NM_000547.6,NM_000547,6
NM_000548.5,NM_000548,5
NM_000549.5,NM_000549,5
NM_000550.3,NM_000550,3
NM_000551.4,NM_000551,4
NM_000552.5,NM_000552,5
NM_000553.6,NM_000553,6
NM_000554.6,NM_000554,6
NM_000555.3,NM_000555,3
NM_000557.5,NM_000557,5
NM_000558.5,NM_000558,5
NM_000559.3,NM_000559,3
NM_000560.4,NM_000560,4
NM_000561.4,NM_000561,4
NM_000562.3,NM_000562,3
NM_000564.5,NM_000564,5
NM_000565.4,NM_000565,4
NM_000566.4,NM_000566,4
NM_000567.3,NM_000567,3
NM_000569.8,NM_000569,8
NM_000570.5,NM_000570,5
NM_000572.3,NM_000572,3
NM_000573.4,NM_000573,4
NM_000574.5,NM_000574,5
